Gemeente;Datum;Melding;Werkvoorraad_In_Behandeling;Ontvangst;Planning_opname;Ingepland_voor_opname;Opleveren_rapport_bewoner;Rapport_bij_bewoner;Voorbereiden_Besluit;Beschikt;AFW;BEH;Afgehandeld_totaal;GeenReactieAdviesrapport;AkkoordAdviesrapport;IZS_Adviesrapport;AOS;AOSGegrond;MeldingCVW;MeldingVoorWesterwijtwerd;MeldingNaWesterwijtwerd;Fysieke Schade;Wettelijke Rente;Bijkomende Kosten;Stuwmeer;Sum_Verleend;a_0-1000;b_1000-4000;c_4000-10000;d_GT_10000;Bezwaar_Totaal;Bezwaar_InBehandeling;Bezwaar_Afgehandeld;Bezwaar_Gegrond;Bezwaar_DeelsGegrond;Bezwaar_Ongegrond;Bezwaar_DoorgezetSchadeproces;Bezwaar_NietOntvankelijk;Bezwaar_Ingetrokken;LTHalfJaar_Werkvoorraad;LTHalfJaar_Ontvangst;LTHalfJaar_Plan_Opname;LTHalfJaar_OpleverenRapport;LTHalfJaar_VoorbBesluit;Half_1Jaar_Werkvoorraad;Half_1Jaar_Ontvangst;Half_1Jaar_PlanOpname;Half_1Jaar_OplRapport;Half_1Jaar_VoorberBesluit;Jaar1_2_Werkvoorraad;Jaar1_2_Ontvangst;Jaar1_2_PlanOpname;Jaar1_2_OplRapport;Jaar1_2_VoorberBesluit;Jaar2Plus_Werkvoorraad;Jaar2Plus_Ontvangst;Jaar2Plus_PlanOpname;Jaar2Plus_OplrapportBew;Jaar2Plus_VoorbBesluit;Opnames;Nulmeting;Rapportage;Rapportage_Nulmeting;Opnames_Aannemersvariant;Opnames_Digitaal;Opnames_smr;Opnames_Regulier;Opnames_Woco;Opnames_Opnemersvariant;Productie_OntvangstAnalyse;Productie_GereedVoorInplanning;Productie_OpleverenRapport;Productie_RapportBewoner;Productie_VoorbereidenBesluit;Specials_Melding;Specials_Wv_In_Beh;Specials_Ontvangst;Specials_PlanningOpname;Specials_OplevRapBewoner;Specials_VoorbereidenBesluit;Specials_AfgehandeldTotaal;Specials_Meldingen_Agro;Specials_Wv_beh_Agro;Specials_Ontvangst_Agro;Specials_PlanningOpname_Agro;Specials_OplevRapBewoner_Agro;Specials_VoorberBesluit_Agro;Specials_Afgehandeld_Agro;Specials_Meldingen_Erfgoed;Specials_Wv_beh_Erfgoed;Specials_Ontvangst_Erfgoed;Specials_PlanningOpname_Erfgoed;Specials_OplevRapBewoner_Erfgoed;Specials_VoorberBesluit_Erfgoed;Specials_Afgehandeld_Erfgoed;Specials_Meldingen_MKB;Specials_Wv_beh_MKB;Specials_Ontvangst_MKB;Specials_PlanningOpname_MKB;Specials_OplevRapBewoner_MKB;Specials_VoorberBesluit_MKB;Specials_Afgehandeld_MKB;Specials_Meldingen_Overig;Specials_Wv_beh_Overig;Specials_Ontvangst_Overig;Specials_PlanningOpname_Overig;Specials_OplevRapBewoner_Overig;Specials_VoorberBesluit_Overig;Specials_Afgehandeld_Overig;VERWACHT_AANTAL_DAGEN_DLT_MELDING_BESLUIT;PERCENTAGE_AANTAL_DAGEN_DLT_TOTAAL_ONDER181_VS2500;MEDIAAN_AANTAL_DAGEN_DLT_TOTAAL_VS2500;Melding_40mms;Beschikt_40mms;AFW_40mms;BEH_40mms;Sum_Schadebedrag_40mms;Melding_20mms;Beschikt_20mms;AFW_20mms;BEH_20mms;Sum_Schadebedrag_20mms;Melding_16mms;Beschikt_16mms;AFW_16mms;BEH_16mms;Sum_Schadebedrag_16mms;Melding_8_5mms;Beschikt_8_5mms;AFW_8_5mms;BEH_8_5mms;Sum_Schadebedrag_8_5_mms;Melding_5mms;Beschikt_5mms;AFW_5mms;BEH_5mms;Sum_Schadebedrag_5mms;Melding_2mms;Beschikt_2mms;AFW_2mms;BEH_2mms;Sum_Schadebedrag_2mms;Melding_mms_onbekend;Beschikt_mms_onbekend;AFW_mms_onbekend;BEH_mms_onbekend;Sum_Schadebedrag_mms_onbekend
Loppersum;7-6-2022;5409;656;199;62;60;128;42;111;3883;215;3668;4753;853;1566;1000;;;13;9;634;€ 24.519.188;€ 659.762,00;€ 2.013.847,00;€ 3.500.498,00;€ 30.719.879;173;960;1636;915;;;;;;;;;;350;123;41;100;24;136;50;6;13;52;107;22;13;9;20;63;4;2;6;15;3769;359;3132;414;284;23;296;1671;231;441;4093;3579;3521;3416;3875;667;134;58;16;24;10;533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3826;2759;150;2609;20010241;1436;1021;59;962;€ 7.295.793,00;120;90;3;87;€ 583.991,00;;;;;;;;;;;;;;;;27;13;3;10;€ 55.831,00
Maasdriel;7-6-2022;1;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;
Midden-Drenthe;7-6-2022;24;5;4;;1;;;;19;18;1;19;;1;1;;;;;5;€ 8.764;€ 43,00;€ 1.440,00;;€ 10.246;0;1;1;;;;;;;;;;;3;3;;;;1;1;;;;1;;;;;;;;;;2;;2;0;;;0;2;;;14;3;2;2;19;9;2;2;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;19;18;1;€ 8.764,00
Midden-Groningen;7-6-2022;16486;1864;620;155;244;331;86;383;13344;879;12465;14622;3388;6282;2657;;;11;17;1836;€ 78.533.339;1359156;€ 7.730.390,00;€ 6.797.000,00;€ 94.468.837;617;3430;5383;2909;;;;;;;;;;1051;424;99;224;108;464;107;30;54;197;276;85;20;48;61;73;4;6;5;17;13159;737;11233;836;1251;112;556;4473;2041;2133;14092;12271;12034;12365;13038;1033;186;102;14;17;22;847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;846;649;31;618;€ 4.791.808,00;2958;2330;120;2210;15706044;603;470;20;450;3488338;4199;3353;173;3180;21275065;4736;3895;298;3597;€ 21.918.095,00;3066;2599;229;2370;17596833;78;48;8;40;€ 548.442,00
Noardeast-Fryslân;7-6-2022;295;75;53;8;2;4;5;2;202;34;168;220;22;80;34;;;;;75;€ 765.961;€ 9.731,00;€ 58.648,00;€ 41.000,00;€ 875.340;2;37;49;30;;;;;;;;;;41;29;4;4;1;14;11;2;;;20;13;2;;1;;;;;;175;5;136;6;11;1;2;123;;5;223;172;142;145;150;61;37;28;4;1;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;241;185;18;167;€ 802.755,00;54;17;16;1;€ 4.206,00
Noordenveld;7-6-2022;4799;666;231;96;41;75;41;158;3891;367;3524;4133;519;1981;681;;;;;666;€ 24.862.770;€ 286.006,00;€ 1.460.977,00;€ 372.000,00;€ 26.982.158;58;618;1133;1006;;;;;;;;;;287;135;33;45;26;169;46;31;12;69;179;44;31;14;50;31;6;1;4;13;3769;47;3026;55;488;21;32;1429;7;1135;4273;3676;3081;3345;3102;389;102;48;13;13;17;287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;14;1;13;€ 97.787,00;4421;3629;255;3374;23617717;359;248;111;137;1519266
Oldambt;7-6-2022;11553;1070;440;165;77;97;66;195;10007;1104;8903;10483;1615;5649;1671;;;4;2;1064;€ 67.264.668;€ 858.016,00;€ 4.175.390,00;€ 1.977.000,00;€ 74.282.839;168;1852;3510;2566;;;;;;;;;;369;168;53;58;35;291;108;44;17;90;350;150;65;19;55;60;14;3;3;15;9776;242;8156;269;1278;81;132;3973;107;3238;10567;9649;8413;9075;9158;873;234;133;42;16;21;639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;59;2;57;€ 519.167,00;458;368;31;337;€ 2.866.021,00;10598;9287;836;8451;65026394;418;293;235;58;€ 830.085,00
Ooststellingwerf;7-6-2022;160;42;39;;1;;;2;112;103;9;118;5;7;6;;;;;42;€ 65.335;€ 533,00;€ 55.195,00;€ 5.000,00;€ 126.063;0;49;8;1;;;;;;;;;;21;21;;;;9;9;;;;11;9;;;1;1;;;;1;37;1;13;1;2;1;0;19;;15;66;38;14;18;113;21;11;11;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;112;103;9;€ 70.335,00
Opsterland;7-6-2022;16;2;1;;;;;1;13;13;;14;;;;;;;;2;;;€ 1.000,00;;€ 1.000;0;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;1;1;;0;0;;;0;1;;;8;2;0;;13;5;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;13;13;;
Pekela;7-6-2022;2726;587;271;70;34;100;15;93;2053;655;1398;2139;243;857;333;;;;2;585;€ 10.051.046;€ 113.010,00;€ 923.947,00;€ 145.000,00;€ 11.233.107;23;583;490;399;;;;;;;;;;127;104;4;4;2;121;84;10;5;9;238;71;48;65;33;101;12;8;26;49;1920;14;1415;13;216;17;15;992;11;555;2227;1901;1428;1461;1810;160;60;24;9;13;9;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;3;€ 28.244,00;1190;1024;129;895;€ 5.672.530,00;1533;1,00E+03;526;500;4487527
